stride_id,timestamp,is_baseline,gait_state,gait_state_id,confidence,nearest_distance,d_patient,d_healthy,d_target,healthy_region_threshold,inside_healthy_region,manifold_deviation,delta_healthy,stride_time,swing_time,stance_time,swing_ratio,stance_ratio,swing_stance_ratio,phase_source,swing_symmetry_ratio,stance_symmetry_ratio,swing_stance_symmetry_ratio,belt_excursion,peak_belt_velocity,trunk_rms,trunk_acc_rms,trunk_gyro_rms,swing_ratio_error,belt_excursion_error,temporal_symmetry_error,trunk_error,biomechanical_deviation,reference_source,decision_state,assist_score,raw_assist_gain,e_manifold,e_baseline,e_healthy,assist_mode,e_swing,e_excursion,deviation_score,assist_gain,gain_delta,target_belt_length,ood_flag,ood_engaged,valid
26,38.600411884000096,0,OOD,-2,1.0,0.9739388427201882,0.9739388427201882,0.8596152582683456,0.8596152582683456,0.8562813681631302,0,0.01432260333529585,-0.21603029186399458,1.3286543599999732,0.5517302069999914,0.7769241529999817,0.4152548801330111,0.584745119866989,0.7101468075996401,belt_cycle,,,,155.1,711.0,0.17418112271681707,0.17418112271681707,1.532643478536014,0.0,0.0,,0.0,0.0,healthy_reference:0p8,MANIFOLD_DEVIATION_ONLY,0.0,0.0,1.0,1.0,1.0,healthy_directed,0.11341642814526784,0.0,0.5340249284435803,0.0,0.0,-128.09166213529025,1,0,1
27,39.93239294,0,OOD,-2,1.0,1.02645594512319,1.02645594512319,0.9597701927402645,0.9597701927402645,0.8562813681631302,0,0.44459455389232827,-0.3161852263359135,1.3319810559999041,0.5317999029998646,0.8001811530000396,0.39925485471762057,0.6007451452823794,0.6645993860340751,belt_cycle,,,,160.5,734.8,0.18637363947345714,0.18637363947345714,1.4276295391599894,0.0,0.0,,0.0,0.0,healthy_reference:0p8,MANIFOLD_DEVIATION_ONLY,0.0,0.0,1.0,1.0,1.0,healthy_directed,0.019917116982986576,0.0,0.505975135094896,0.0,0.0,-128.09166213529025,1,0,1
28,41.28025104100016,0,S0,0,1.0,0.6007963921371624,0.6007963921371624,0.4196755592518351,0.4196755592518351,0.8562813681631302,1,0.0,0.22390940715251595,1.3478581010001633,0.5398088470001312,0.8080492540000321,0.40049382542537076,0.5995061745746292,0.668039533887262,belt_cycle,,,,128.8,632.7,0.1903667577939748,0.1903667577939748,1.4242712241426851,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,0.4901140849906741,0.7564135078741542,0.4901140849906741,healthy_directed,0.009592361085068262,0.07452782031648819,0.26284031488415516,0.0,0.0,-128.09166213529025,0,0,1
29,42.61193920200003,0,S0,0,1.0,0.8047277502067876,0.8047277502067876,0.7293272963110664,0.7293272963110664,0.8562813681631302,1,0.0,-0.08574232990671538,1.3316881609998674,0.5402000490000773,0.7914881119997901,0.4056505605595236,0.5943494394404764,0.6825118922319588,belt_cycle,,,,142.6,696.3,0.1770760771631987,0.1770760771631987,1.4681572539350296,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,0.8517379023154481,1.0,0.8517379023154481,healthy_directed,0.0333804316995386,0.0,0.43588308066758563,0.0,0.0,-128.09166213529025,0,0,1
30,43.96048325300012,0,OOD,-2,1.0,1.003786915505039,1.0037869155050387,0.9427812292341209,0.9427812292341209,0.8562813681631302,0,0.37160888918920587,-0.29919626282976985,1.34854405100009,0.5401393919999009,0.808404659000189,0.40053522285707294,0.5994647771429271,0.668154724229236,belt_cycle,,,,164.2,717.5,0.18490368685609626,0.18490368685609626,1.3864508827505035,0.0,0.0,,0.0,0.0,healthy_reference:0p8,MANIFOLD_DEVIATION_ONLY,0.0,0.0,1.0,1.0,1.0,healthy_directed,0.009247382487550157,0.0,0.502774214746265,0.0,0.0,-128.09166213529025,1,0,1
31,45.30028022300007,0,S0,0,1.0,0.5157312757380558,0.5157312757380558,0.5116311254144653,0.5116311254144653,0.8562813681631302,1,0.0,0.13195384098988572,1.3397969699999521,0.5399427369998193,0.7998542330001328,0.4030034020750462,0.5969965979249539,0.6750514215253639,belt_cycle,,,,117.7,597.1,0.17040970245727843,0.17040970245727843,1.5018841365555982,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,0.5975035127904295,0.6493149900813217,0.5975035127904295,healthy_directed,0.011320777662227055,0.240465251950704,0.3502410400840237,0.0,0.0,-128.09166213529025,0,0,1
32,46.620479052000064,0,S0,0,1.0,0.3833986867304037,0.3833986867304037,0.2554822555508657,0.2554822555508657,0.8562813681631302,1,0.0,0.38810271085348536,1.3201988289999917,0.5280553389998204,0.7921434900001714,0.39998167503284743,0.6000183249671526,0.6666157655347343,belt_cycle,,,,128.5,634.3,0.1701648140634389,0.1701648140634389,1.4932199647593627,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,0.29836250682286686,0.4827058706402476,0.29836250682286686,healthy_directed,0.01386028102276273,0.07901261576606175,0.1691418608714746,0.0,0.0,-128.09166213529025,0,0,1
33,48.00047557300013,0,S0,0,1.0,0.8670816026240221,0.8670816026240221,0.6816957315274743,0.6816957315274743,0.8562813681631302,1,0.0,-0.03811076512312328,1.3799965210000664,0.5322057860000697,0.8477907349999967,0.38565733891443926,0.6143426610855607,0.6277560770938029,belt_cycle,,,,135.4,645.4,0.20184294379794684,0.20184294379794684,1.4405015472257023,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,0.7961118352835682,1.0,0.7961118352835682,healthy_directed,0.1332297486761641,0.0,0.43802484224463334,0.0,0.0,-128.09166213529025,0,0,1
34,49.36050607300013,0,OOD,-2,1.0,0.9960158630165389,0.9960158630165387,0.8187351015545106,0.8187351015545106,0.8562813681631302,1,0.0,-0.17515013515015954,1.3600305000000006,0.548005491999902,0.8120250080000986,0.4029361782694592,0.5970638217305407,0.6748628263919619,belt_cycle,,,,145.1,703.9,0.20327409846046596,0.20327409846046596,1.6276818484130922,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,0.9561519519113644,1.0,0.9561519519113644,healthy_directed,0.010760579282335463,0.0,0.4813041497403828,0.0,0.0,-128.09166213529025,1,0,1
35,50.68063845400002,0,OOD,-2,1.0,0.9448741168465116,0.9448741168465115,0.9334881124935547,0.9334881124935547,0.8562813681631302,0,0.33168507028002636,-0.28990314608920364,1.3201323809998868,0.5398529909998615,0.7802793900000253,0.40893852674908954,0.5910614732509104,0.6918713962185314,belt_cycle,,,,134.89999999999998,682.3,0.1402916230994921,0.1402916230994921,1.8048621134572291,0.0,0.0,,0.0,0.0,healthy_reference:0p8,MANIFOLD_DEVIATION_ONLY,0.0,0.0,1.0,1.0,1.0,healthy_directed,0.06078014994592151,0.0,0.5182340449837765,0.0,0.0,-128.09166213529025,1,0,1
36,52.07253654200008,0,S0,0,1.0,0.7204839178730714,0.7204839178730713,0.5770673192966308,0.5770673192966308,0.8562813681631302,1,0.0,0.06651764710772023,1.3918980880000618,0.5285493589999604,0.8633487290001014,0.37973280052378156,0.6202671994762184,0.6122084173473061,belt_cycle,,,,143.0,672.4,0.19554211724188308,0.19554211724188308,1.4855763048873614,0.010952276022094809,0.0,,0.0,0.0032856828066284427,healthy_reference:0p8,BIOMECH_DEFICIT_ONLY,0.0016428414033142213,0.0013142731226513773,0.6739225454998966,0.9071022642906676,0.6739225454998966,healthy_directed,0.18260090193164502,0.0,0.39174154332944183,0.0,0.0,-128.09166213529025,0,0,1
37,53.43258719599999,0,S0,0,1.0,0.8560313967689703,0.8560313967689703,0.7131553198681923,0.7131553198681923,0.8562813681631302,1,0.0,-0.06957035346384122,1.360050653999913,0.5477864760000557,0.8122641779998574,0.4027691721547385,0.5972308278452615,0.6743944776057228,belt_cycle,,,,146.0,685.1,0.20471694510362337,0.20471694510362337,1.6618479300227529,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,0.8328516144150517,1.0,0.8328516144150517,healthy_directed,0.009368861659662941,0.0,0.4192364657054247,0.0,0.0,-128.09166213529025,0,0,1
38,54.75235143100008,0,S0,0,1.0,0.7267304661987173,0.7267304661987172,0.7267051669364295,0.7267051669364295,0.8562813681631302,1,0.0,-0.08312020053207847,1.3197642350000862,0.5485873719999361,0.7711768630001501,0.4156707368266426,0.5843292631733574,0.711363888519344,belt_cycle,,,,133.89999999999998,678.5,0.16401353255171602,0.16401353255171602,1.9510553263337072,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,0.8486756736227208,0.9149667814431416,0.8486756736227208,healthy_directed,0.11688190059219682,0.0,0.45940240698901946,0.0,0.0,-128.09166213529025,0,0,1
39,56.102824560000045,0,S0,0,1.0,0.5184267959107848,0.5184267959107849,0.45043812497654584,0.45043812497654584,0.8562813681631302,1,0.0,0.1931468414278052,1.3504731289999654,0.5306275059999734,0.819845622999992,0.39291970688295497,0.607080293117045,0.6472285648830971,belt_cycle,,,,122.2,613.6,0.19148192092358615,0.19148192092358615,1.6115641256251592,0.0,0.0,,0.0,0.0,healthy_reference:0p8,IN_RANGE,0.0,0.0,0.5260398529315341,0.6527086986589425,0.5260398529315341,healthy_directed,0.0727100156051999,0.17319332020710304,0.3194715951887476,0.0,0.0,-128.09166213529025,0,0,1
40,57.53255929900001,0,S0,0,1.0,0.8435943343422566,0.8435943343422566,0.7144573320794699,0.7144573320794699,0.8562813681631302,1,0.0,-0.0708723656751189,1.4297347389999686,0.5441419860001133,0.8855927529998553,0.3805894696107858,0.6194105303892142,0.6144381648979034,belt_cycle,,,,135.3,662.0,0.2095854614298004,0.2095854614298004,1.5531924004033815,0.0023855851520521165,0.0,,0.0,0.000715675545615635,healthy_reference:0p8,BIOMECH_DEFICIT_ONLY,0.0003578377728078175,0.000286270218246254,0.834372156913916,1.0,0.834372156913916,healthy_directed,0.1754619928732761,0.0,0.4698246763189408,0.0,0.0,-128.09166213529025,0,0,1
41,58.81186108300017,0,S0,0,1.0,0.6534371131968113,0.6534371131968113,0.6690752771524133,0.6690752771524133,1.408510704557446,1,0.0,-0.025490310748062295,1.279301784000154,0.5705269560000943,0.7087748280000596,0.44596745125779147,0.5540325487422085,0.8049481068761182,belt_cycle,,,,132.6,657.1,0.1943708918123216,0.1943708918123216,1.638835527333417,0.0,0.0,,0.0,0.0,healthy_reference:1p0,IN_RANGE,0.0,0.0,0.7813731584370381,0.8226891263613294,0.7813731584370381,healthy_directed,0.36935452085177095,0.01772041128855875,0.5050370177317621,0.0,0.0,-128.09166213529025,0,0,1
